chi,chi2,seed,J1,J2,N
0.5,0.75,2033,-5.4064397113374674e-06,-0.00014075795193394718,1000
0.25,0.5,2033,-8.081975885072622e-06,-0.00015332625472930732,1000
0.75,0.5,2033,-3.2600274211289506e-06,-0.00015498147849647844,1000
0.5,0.25,2034,-7.060186243504435e-06,-0.00015303390510341158,1000
0.5,0.75,2034,-5.671413269349657e-06,-0.0001290887695514158,1000
0.25,0.5,2034,-8.155759301491635e-06,-0.0001459048979938532,1000
0.75,0.5,2034,-3.44824539132958e-06,-0.00014011819691172472,1000
0.5,0.25,2035,-6.702656897499117e-06,-0.00016780053831295426,1000
0.5,0.75,2035,-5.501869280491988e-06,-0.0001423479144159241,1000
0.25,0.5,2035,-7.802076144495761e-06,-0.0001555486509915388,1000
0.75,0.5,2035,-3.626127667022966e-06,-0.00015649326289668942,1000
0.5,0.25,2036,-7.557336233687279e-06,-0.0001519185565589733,1000
0.5,0.75,2036,-6.014439388601956e-06,-0.00012736621330377705,1000
0.25,0.5,2036,-8.610506445756213e-06,-0.00014372597165556773,1000
0.75,0.5,2036,-4.187699110226841e-06,-0.00013806336346555524,1000
0.5,0.25,2037,-5.73824862883503e-06,-0.00015257125688242684,1000
0.5,0.75,2037,-4.327874053449948e-06,-0.00012803968696181885,1000
0.25,0.5,2037,-7.3891897388588035e-06,-0.00014380867924018514,1000
0.75,0.5,2037,-2.0444498338368183e-06,-0.00013978573683150617,1000
0.5,0.25,2038,-7.392240555925033e-06,-0.00015942255825668455,1000
0.5,0.75,2038,-6.213068826232972e-06,-0.00013500447526608244,1000
0.25,0.5,2038,-8.646945611943911e-06,-0.0001508074088284897,1000
0.75,0.5,2038,-4.892507791040244e-06,-0.00014690450765458628,1000
0.5,0.25,2039,-6.4290012472145295e-06,-0.00014685855654785704,1000
0.5,0.75,2039,-5.0920623154243895e-06,-0.00012467807530538208,1000
0.25,0.5,2039,-8.122191192725217e-06,-0.00013889604297238412,1000
0.75,0.5,2039,-3.0745622884594224e-06,-0.0001340645492381879,1000
