file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1.npz,0.75,4000,1,24.0,0.05,101,200000.0,8.232013065628643e-07,0.0006669372783751971,0.0003678036983567866,0.027728996715669495,4.349781252771984e-05,-0.01990749783225186,0.0004877305134721515,4.56375161243417,0.04180594479608478
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed2.npz,0.75,4000,2,24.0,0.05,101,200000.0,-1.6523990094698945e-07,0.0004729526157227737,0.0004409200152996427,0.02738184554393458,5.545574169227584e-05,-0.01990578067032057,0.0005914617238721343,4.4704335278684555,0.04539793307916108
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed3.npz,0.75,4000,3,24.0,0.05,101,200000.0,-1.8090103220435677e-06,0.0005930914460588302,0.00040108916563993366,0.026522187521916384,5.967636166459293e-05,-0.01910085204669218,0.0005256811472642018,4.244564066306032,0.046221205762921096
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,4000,1,24.0,0.05,101,200000.0,-1.5303162005145794e-06,0.0,0.0,0.028258508474099952,3.5694650541780785e-05,-0.00021781453497766678,0.0006208940374195273,4.576386534420575,0.043348900912733725
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed2.npz,0.0,4000,2,24.0,0.05,101,200000.0,-1.591663526548003e-06,0.0,0.0,0.028681589319158388,3.9260312387113044e-05,6.770768364446888e-05,0.000530006650401177,4.618923782693168,0.04340468882875863
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed3.npz,0.0,4000,3,24.0,0.05,101,200000.0,-1.2087687053270335e-06,0.0,0.0,0.028668648624138936,1.4798052775627548e-05,-0.0012127768839958401,0.0006167376362137033,4.498995475838828,0.050167601274927226
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1.npz,1.5,4000,1,24.0,0.05,101,200000.0,-1.37728679701819e-07,0.005679675005408047,0.000896360951181581,0.025773455077452486,3.3517242857008075e-05,-0.034873732612573365,0.0006097860498493219,5.780714528238007,0.05018142067934766
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont1.npz,1.5,4000,1,24.0,0.05,101,200000.0,4.829818904628864e-07,0.006374012180839418,0.000990897868842285,0.025408258818521483,3.9328230404321334e-05,-0.03386304677388928,0.0006622701385989773,6.017539652561259,0.05778716731183019
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2.npz,1.5,4000,2,24.0,0.05,101,200000.0,6.184354978825774e-07,0.004903943912165113,0.0009431846477429651,0.025505925088794464,3.713540330278714e-05,-0.0349895916917483,0.0006316264959493897,5.865687397843571,0.05388901330534202
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2_cont1.npz,1.5,4000,2,24.0,0.05,101,200000.0,1.0287819232662483e-06,0.006178551193791479,0.0008728042092683346,0.025945201633270354,3.790954741659359e-05,-0.034798768320711215,0.0005856201834272615,5.931574580951021,0.05535030485584395
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont2_dense500.npz,1.5,4000,1,24.0,0.05,251,12500.0,-5.218669613385244e-06,0.005922174126951963,0.0005471402479744042,0.02617944360552727,1.9399900066433682e-05,-0.03532104932365627,0.00036332302328035787,5.862782695360104,0.03378425221228802
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed3.npz,1.5,4000,3,24.0,0.05,101,200000.0,-9.348911181739774e-08,0.008025393824814764,0.0009205189629059615,0.024610074544265777,2.771643712277226e-05,-0.03156484926652216,0.0006145290983426855,5.660479856842899,0.05566494123382094
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed3_cont1.npz,1.5,4000,3,24.0,0.05,101,200000.0,4.554070681730909e-07,0.006373286706791856,0.0009516037633690796,0.024977831917469027,2.9944546971250546e-05,-0.03321789007167564,0.0006344941356044001,5.717542342769673,0.05483543041448807
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2_cont2_dense500.npz,1.5,4000,2,24.0,0.05,251,12500.0,4.053499790723382e-06,0.007511643506874644,0.0005735118361093486,0.026380988144943152,1.6202627476663034e-05,-0.0345637198794983,0.0003835750137931186,5.811109230478081,0.033891654761842555
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed1.npz,1.0,4000,1,24.0,0.05,101,200000.0,-1.984096013310991e-06,0.002438782879144687,0.0005490616349613899,0.026127161679096095,2.5165468774814716e-05,-0.023688378799951414,0.0005470443429288713,5.0576384550112525,0.04810065001039723
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed2.npz,1.0,4000,2,24.0,0.05,101,200000.0,2.1857546092163054e-06,0.0020234686936490913,0.0005600113140241862,0.02594771244587881,3.6048483285086644e-05,-0.023924243752229717,0.0005596532647276656,4.903847261052492,0.046294258102593876
