t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,ari_floor
35000.0,0.8676586281309195,25,0.85,,0.5814827518429616,0.43900414937759336,3.7778341095119896e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
36000.0,0.8663997282922882,22,0.868,0.5487869984969361,0.4787547779179365,0.4094554664415365,3.49252846741381e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
37000.0,0.8635462480815651,20,0.883,,0.5111679077317862,0.44018534119629316,2.8659637945380537e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
38000.0,0.8670458218892287,17,0.881,,0.5369865405065456,0.4633540372670808,3.084825115322529e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
39000.0,0.8693496791420072,15,0.894,,0.4862465848699957,0.4549938347718866,3.031374854728781e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
40000.0,0.8711000177777778,19,0.902,0.547465434074074,0.48392711969283475,0.43474646716541976,3.2147739436485406e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
41000.0,0.8579066895193099,17,0.876,,0.532236419991515,0.44312114989733065,3.063624036645608e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
42000.0,0.8606605137329033,15,0.935,,0.476059679377094,0.4010739363899215,2.666787932326437e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
43000.0,0.8660238261105546,14,0.928,,0.4972544182294035,0.4078624078624079,2.5335741452912047e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
44000.0,0.8545571309804995,22,0.916,0.5270141200967225,0.4792331192104662,0.4343271555197421,2.9064727664824366e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
45000.0,0.8563808819453775,21,0.908,,0.42448700451880483,0.4022094926350246,2.9491004548839965e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
46000.0,0.852818056252754,14,0.932,,0.5479683963642519,0.37132200580190633,2.7243471454908417e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
47000.0,0.8561545511507636,17,0.877,,0.5858265652545476,0.36514522821576767,2.7402548629645418e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
48000.0,0.8573169619550493,16,0.895,0.5311296735637046,0.49250338732977234,0.3632174277335568,3.0482873050209445e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
49000.0,0.8607604836165128,25,0.883,,0.4976531832986255,0.3852253756260434,3.151555960542127e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
50000.0,0.8576280097159641,21,0.922,,0.4831005797778801,0.36762860727728985,3.3225308914639484e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
51000.0,0.8601867662806724,19,0.905,,0.5218724754563808,0.3843344155844156,2.7430873632301193e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
52000.0,0.8576332062500455,13,0.932,0.5284388256243413,0.4469767648663154,0.35927152317880795,2.6159905794615663e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
53000.0,0.8577962677710159,9,0.943,,0.5324904176713803,0.4,2.678113823519026e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
54000.0,0.8615789683820289,9,0.944,,0.5270606193190767,0.3960436011303997,2.1604963698645214e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
55000.0,0.8561602968460111,16,0.891,,0.49205505526591875,0.4222850222042793,1.9920677058094085e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
56000.0,0.8640786773824506,17,0.883,0.5233056970115831,0.4649646213770085,0.4127694184627898,2.3532986544959272e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
